"IDAr_Couleur","Couleur","Etat","Code","TypeVisuel","IDSupportArCouleur","Couleur_AN","NumInterne","Commentaires","IDAr_TypeMotif","RVB_Hex","Reference","MotifCouleur"
1,AMARETTO,1,G1B2,Uni,0,"",0,,0,"","",
2,ANISE,1,G1A8,Uni,0,"",0,,0,"","",
3,AQUA,1,G14O,Uni,0,"",0,,0,#00DBD0DB,"",
4,BLEU AZUR,1,G17D,Uni,0,"",0,,0,#00FF887F,"",
5,BLEU WORKER,1,G1A0,Uni,0,"",0,,0,"","",
6,BLEU/BLANC,1,G17U,Uni,0,"",0,,0,"","",
7,BOUQUET BLEU,1,G1B7,Uni,0,"",0,,0,"","",
8,BOUQUET BLEU MARINE,1,G1B1,Imprimé,0,"",0,,0,"","",
9,BOUQUET ROSE,1,G19Z,Imprimé,0,"",0,,0,"","",
10,BRIA,1,G1AU,Fantaisie,0,"",0,,0,#00D223D0,"",
11,BRIA NOIR/BLANC,1,G1AV,Fantaisie,0,"",0,,0,"","",
12,CADIX BLEU,1,G1BA,Imprimé,0,"",0,,0,"","",
13,CADIX ECRU,1,G1BB,Imprimé,0,"",0,,0,"","",
14,CAMEL FONCE,1,G17B,Uni,0,"",0,,0,"","",
15,CAMI NOIR,1,G187,Imprimé,0,"",0,,0,"","",
16,CAMO ELECTRIC BLUE,1,G18A,Imprimé,0,"",0,,0,"","",
17,CAMO MARINE,1,G189,Imprimé,0,"",0,,0,"","",
18,CLEMENTINE,1,G14U,Uni,0,"",0,,0,"","",
19,CLEMENTINE/ROSE,1,G15Z,Uni,0,"",0,,0,"","",
20,DARK CHERRY,1,G16V,Uni,0,"",0,,0,"","",
21,DHALIA,1,G14N,Uni,0,"",0,,0,"","",
22,ECRU/BLEU CLAIR,1,G17N,Uni,0,"",0,,0,"","",
23,ECRU/BLEU ELECTRIQUE,1,G17V,Uni,0,"",0,,0,"","",
24,ECRU/BLEU WORKER,1,G1AL,Uni,0,"",0,,0,"","",
25,ECRU/BLUE WORKER,1,G1AX,Uni,0,"",0,,0,"","",
26,ECRU/ELECTRIC BLUE,1,G16Z,Uni,0,"",0,,0,"","",
27,ECRU/JULIE LGT GOLD,1,G162,Fantaisie,0,"",0,,0,"","",
28,ECRU/ORANGE,1,G17W,Uni,0,"",0,,0,"","",
29,ECRU/ROUGE BAISER,1,G174,Uni,0,"",0,,0,"","",
30,ECRU/SABLE,1,G171,Uni,0,"",0,,0,"","",
31,ECRU/VERT GREEN,1,G172,Uni,0,"",0,,0,"","",
32,EGRACY JOCRE,1,G15K,Jacquard,0,"",0,,0,"","",
33,ELECTRIC BLUE,1,G0PN,Uni,0,"",0,,0,"","",
34,ELECTRIC BLUE/ECRU,1,G16X,Uni,0,"",0,,0,"","",
35,EMILIA NOIR/BLANC,1,G163,Fantaisie,0,"",0,,0,"","",
36,ENIA NOIR/BLANC,1,G16E,Fantaisie,0,"",0,,0,"","",
37,ESTELLA BLEU/VERT,1,G16F,Imprimé,0,"",0,,0,"","",
38,ESTHER BLEU,1,G17Z,Fantaisie,0,"",0,,0,"","",
39,EXOTIC BLEU,1,G15L,Imprimé,0,"",0,,0,"","",
40,FLAMENCA NOIR,1,G1AW,Imprimé,0,"",0,,0,"","",
41,FRAISIER,1,G19Y,Uni,0,"",0,,0,"","",
42,GAZON,1,G1A2,Uni,0,"",0,,0,"","",
43,GLYCINE,1,G1AC,Uni,0,"",0,,0,"","",
44,GOYAVE,1,G1A4,Uni,0,"",0,,0,"","",
45,GRENADE,1,G10L,Uni,0,"",0,,0,"","",
46,HAJALI BLEU CARREAUX,1,G16A,Fantaisie,0,"",0,,0,"","",
47,HALMA NOIR/ECRU,1,G16C,Imprimé,0,"",0,,0,"","",
48,HARAKA NOIR,1,G16B,Uni,0,"",0,,0,"","",
49,HARAKA ROSE,1,G17S,Imprimé,0,"",0,,0,"","",
50,HATLAS BLEU MULTICO,1,G16D,Imprimé,0,"",0,,0,"","",
51,JAINE BEIGE,1,G1AD,Imprimé,0,"",0,,0,"","",
52,JANA BLEU MARINE,1,G1AR,Imprimé,0,"",0,,0,"","",
