IDArticle,Article,ArticleCleaned,IDAr_Couleur,Code
17883,YOTTE D1 MENTHOL,YOTTE D1 MENTHOL,0,AEND41A
17104,YOTTE D1 BLEU MARINE,YOTTE D1 BLEU MARINE,0,AEND41A
17882,YOTTE D1 AUBERGINE ,YOTTE D1 AUBERGINE,0,AEND41A
17421,WILLA P1 FRAMBOISE,WILLA P1 FRAMBOISE,0,AENP98A
17419,WILLA P1 BLEU MARINE ,WILLA P1 BLEU MARINE,0,AENP98A
17391,VIVANE SH1 VERT,VIVANE SH1 VERT,0,XENB033
17389,VIVANE SH1 MOKA,VIVANE SH1 MOKA,0,XENB033
17395,VIVANE SH1 KAKI,VIVANE SH1 KAKI,0,XENB033
17388,VIVANE SH1 ECRU,VIVANE SH1 ECRU,0,XENB033
17476,VESTE K1,VESTE K1,1161,BHNK073
16500,VESTE K1,VESTE K1,1161,BHNK073
17370,VANILLE R1 ROUGE,VANILLE R1 ROUGE,0,AENR272A
17372,VANILLE R1 NOIR,VANILLE R1 NOIR,0,AENR272A
17371,VANILLE R1 ECRU,VANILLE R1 ECRU,0,AENR272A
15765,VALERIA R1,VALERIA R1,0,BHNR469
17475,VALERIA R1,VALERIA R1,0,BHNR469
16682,TWIGY R1,TWIGY R1,2114,BHNR457
17473,TWIGY R1,TWIGY R1,2114,BHNR457
17474,TWIGY R1,TWIGY R1,2114,BHNR457
17336,TWEEDY V1,TWEEDY V1,0,BHNW353
16064,TWEEDY V1,TWEEDY V1,0,BHNW353
195,TWEEDY V1,TWEEDY V1,0,BHNW353
213,TWEEDY SH1,TWEEDY SH1,0,BHNB108
16063,TWEEDY SH1,TWEEDY SH1,0,BHNB108
17337,TWEEDY SH1,TWEEDY SH1,0,BHNB108
18081,TARA C1 VERT RIO,TARA C1 VERT RIO,0,CENC008
18080,TARA C1 NOIR,TARA C1 NOIR,0,CENC008
18078,TARA C1 ECRU,TARA C1 ECRU,0,CENC008
17937,TARA C1,TARA C1,0,BHNC368
17938,TARA C1,TARA C1,0,BHNC368
17584,TARA C1,TARA C1,0,AENC213A
17934,TARA C1,TARA C1,0,BHNC368
17583,TARA C1,TARA C1,0,AENC213A
17585,TARA C1,TARA C1,0,AENC213A
16339,TANA C1 NOIR,TANA C1 NOIR,0,XENC404
16338,TANA C1 ECRU,TANA C1 ECRU,0,XENC404
17667,SWEAT AVEC BOUTONS,SWEAT AVEC BOUTONS,0,BHNS049
17666,SWEAT AVEC BOUTONS,SWEAT AVEC BOUTONS,0,BHNS049
16062,SORIA J1 ,SORIA J1,0,AENJ58A
16264,SORIA J1,SORIA J1,0,AENJ58A
16263,SORIA J1,SORIA J1,0,AENJ58A
17527,SKIMONA,SKIMONA,0,AENXU006
17526,SKIMONA,SKIMONA,0,AENXU006
17525,SKIMONA,SKIMONA,0,AENXU006
232,SIMON ML VERT,SIMON ML VERT,0,AENT190A
15892,SIMON ML NOIR,SIMON ML NOIR,0,AENT190A
222,SIMON ML ECRU,SIMON ML ECRU,0,AENT190A
17571,SIDONIE R1,SIDONIE R1,0,AENR278A
17572,SIDONIE R1,SIDONIE R1,0,AENR278A
17570,SIDONIE R1,SIDONIE R1,0,AENR278A
16137,SEVERIN C1,SEVERIN C1,0,AENC170A
16136,SEVERIN C1,SEVERIN C1,0,AENC170A
16135,SEVERIN C1,SEVERIN C1,0,AENC170A
17180,SANDY SH1 NOIR,SANDY SH1 NOIR,0,AENB74A
17210,SANDY SH1 ECRU,SANDY SH1 ECRU,0,AENB74A
17522,SADIE,SADIE,0,AENXU001
17520,SADIE,SADIE,0,AENXU001
17521,SADIE,SADIE,0,AENXU001
15915,SABRA C1,SABRA C1,0,AENC056
17619,ROSY R1 ORANGE,ROSY R1 ORANGE,0,AENR279A 
17620,ROSY R1 BLEU MARINE ,ROSY R1 BLEU MARINE,0,AENR279A 
17953,ROSA SLIM STONE,ROSA SLIM STONE,0,BHNP211
17954,ROSA SLIM NOIR,ROSA SLIM NOIR,0,BHNP211
18129,ROSA SLIM GRIS,ROSA SLIM GRIS,0,BHNP211
17952,ROSA SLIM BRUT,ROSA SLIM BRUT,0,BHNP211
17941,ROSA R2,ROSA R2,0,BHNR505
17942,ROSA R2,ROSA R2,0,BHNR505
17947,ROSA P2,ROSA P2,0,BHNP207
17948,ROSA P2,ROSA P2,0,BHNP207
18127,ROSA K1 NOIR,ROSA K1 NOIR,0,BHNK092
17949,ROSA K1,ROSA K1,0,BHNK092
18128,ROSA C1 ECRU,ROSA C1 ECRU,0,BHNC351
17832,ROSA C1 BRUT,ROSA C1 BRUT,0,BHNC351
18169,RONIE C1 LAGON,RONIE C1 LAGON,0,BHNC358
17364,RONIE C1 ECRU,RONIE C1 ECRU,0,BHNC358
17378,RONIE C1 BLEU MARINE,RONIE C1 BLEU MARINE,0,BHNC358
17696,Robe courte avec insert fleurs en tulle bretelles amovibles,Robe courte avec insert fleurs en tulle bretelles amovibles,0,AENR410
17890,ROBBIE R1 ROSE POUDRE ,ROBBIE R1 ROSE POUDRE,0,AENR291A
17889,ROBBIE R1 BLEU ELECTRIQUE ,ROBBIE R1 BLEU ELECTRIQUE,0,AENR291A
17951,RIO P1 NAVY,RIO P1 NAVY,0,BHNP208
16329,RIO P1 FICELLE,RIO P1 FICELLE,0,BHNP208
140,REMIE SM ECRU/ROUGE,REMIE SM ECRU/ROUGE,0,DNT16Z
141,REMIE SM BLEU MARINE/ECRU,REMIE SM BLEU MARINE/ECRU,0,DNT16Z
17131,READY V1,READY V1,0,CENW001
16381,PLUMIA R1 ROUGE,PLUMIA R1 ROUGE,0,AENR163
